News#   Title                                                                                                    Word                          Frequency Polarity 
1       ADVANCED MAGNETICS ADMG IN AGREEMENT                                                                     admg                          1         Neutral
1       ADVANCED MAGNETICS ADMG IN AGREEMENT                                                                     agreement                     1         Neutral
1       ADVANCED MAGNETICS ADMG IN AGREEMENT                                                                     advanced                      1         Positive
1       ADVANCED MAGNETICS ADMG IN AGREEMENT                                                                     in                            1         Positive
1       ADVANCED MAGNETICS ADMG IN AGREEMENT                                                                     magnetics                     1         Positive

2       HEALTH RESEARCH FILES FOR BANKRUPTCY                                                                     for                           1         Neutral
2       HEALTH RESEARCH FILES FOR BANKRUPTCY                                                                     health                        1         Neutral
2       HEALTH RESEARCH FILES FOR BANKRUPTCY                                                                     files                         1         Neutral
2       HEALTH RESEARCH FILES FOR BANKRUPTCY                                                                     bankruptcy                    1         Neutral
2       HEALTH RESEARCH FILES FOR BANKRUPTCY                                                                     research                      1         Neutral

3       NUMEREX CORP NMRX 2ND QTR JAN 31 LOSS                                                                    loss                          1         Negative
3       NUMEREX CORP NMRX 2ND QTR JAN 31 LOSS                                                                    numerex                       1         Negative
3       NUMEREX CORP NMRX 2ND QTR JAN 31 LOSS                                                                    corp                          1         Negative
3       NUMEREX CORP NMRX 2ND QTR JAN 31 LOSS                                                                    nmrx                          1         Negative
3       NUMEREX CORP NMRX 2ND QTR JAN 31 LOSS                                                                    jan                           1         Negative
3       NUMEREX CORP NMRX 2ND QTR JAN 31 LOSS                                                                    2nd                           1         Negative
3       NUMEREX CORP NMRX 2ND QTR JAN 31 LOSS                                                                    qtr                           1         Negative
3       NUMEREX CORP NMRX 2ND QTR JAN 31 LOSS                                                                    31                            1         Negative

4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 6-mo                          1         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 u.s.                          1         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 dlrs                          2         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 pay                           1         Neutral
